Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2/27/2014,35,79,14,92,13,16,24,0,19,14,11,0,61,16,34,26,19,15,24,45,12,18,13,24,41,17,0,47,23,40,37,60,16,21,86,23,15,13,17,48,48,0,20,12,61,86,25,18,100,17,0
2/28/2014,22,46,10,37,7,9,0,0,0,5,8,23,23,7,27,20,0,9,9,0,10,3,10,16,29,5,0,0,18,0,10,24,10,8,50,5,13,4,11,28,0,0,6,6,18,100,11,8,0,7,0
3/1/2014,24,0,15,37,9,24,18,0,29,6,13,47,0,15,27,41,56,18,20,0,29,9,23,10,32,10,0,0,19,0,17,0,19,20,0,25,0,10,10,57,20,0,38,8,26,100,13,8,0,10,0
3/2/2014,18,0,9,22,7,17,26,51,17,5,14,30,0,11,24,17,40,10,19,0,36,7,13,8,20,12,0,45,12,0,18,44,13,18,63,20,25,24,13,0,24,0,10,9,24,0,14,10,85,13,100
3/3/2014,49,89,38,32,22,13,31,0,23,15,36,0,0,15,43,30,21,24,18,48,45,27,25,13,0,28,79,34,20,43,26,44,31,31,0,20,16,44,36,51,52,94,40,8,56,93,19,11,100,49,0
3/4/2014,32,46,20,27,10,16,25,42,17,13,16,37,49,10,16,23,28,31,9,35,19,14,10,14,15,10,42,35,21,23,18,23,12,19,0,10,9,15,14,28,18,0,8,8,18,100,10,8,27,15,0
3/5/2014,21,0,15,21,11,17,26,0,33,10,20,0,45,13,19,20,13,17,10,32,20,16,8,14,0,10,52,28,13,28,25,29,11,18,61,20,16,18,14,34,19,0,9,7,15,60,10,5,0,18,100
3/6/2014,16,0,8,11,6,5,5,24,20,5,10,0,14,7,10,10,20,6,10,0,5,9,6,6,9,6,0,27,6,14,10,0,4,2,30,11,11,5,7,34,16,31,8,6,0,58,6,5,0,9,100
3/7/2014,20,28,6,11,4,6,10,0,7,3,6,12,22,7,8,7,10,12,5,16,5,6,7,3,9,6,0,11,17,14,6,14,3,7,0,6,13,6,5,26,9,96,9,3,7,39,10,5,17,4,100
3/8/2014,28,54,6,22,4,18,25,51,0,5,23,22,0,12,8,13,0,11,10,31,7,11,11,12,0,12,0,22,0,26,19,0,7,10,62,17,15,9,10,0,23,0,5,6,46,0,18,13,32,14,100
3/9/2014,23,57,15,23,8,9,38,52,32,9,17,0,29,12,13,14,14,16,11,0,10,9,16,14,20,13,54,23,12,27,16,29,10,8,0,5,11,14,14,35,18,0,9,8,16,56,13,7,0,24,100
3/10/2014,54,0,16,0,10,15,35,0,29,8,19,33,0,20,12,19,38,17,28,43,18,16,19,32,28,18,0,61,0,38,41,39,16,16,83,24,23,38,23,0,33,0,23,7,41,77,19,20,100,20,0
3/11/2014,35,0,19,20,6,12,19,0,24,9,12,23,40,15,18,29,11,28,9,42,15,12,8,12,38,6,0,47,11,37,13,38,12,23,54,14,10,9,11,32,14,0,19,6,13,49,9,7,100,17,0
3/12/2014,45,98,21,58,17,23,0,0,48,17,28,47,52,24,38,72,38,21,18,52,31,22,25,27,0,22,0,59,42,47,30,100,26,23,0,17,19,33,21,0,33,0,46,9,26,93,20,13,62,36,0
3/13/2014,63,0,17,43,10,16,49,73,50,11,23,40,0,19,28,31,21,44,29,45,24,18,15,27,47,24,0,57,17,40,23,41,17,23,0,26,38,27,11,100,41,0,18,9,22,81,13,7,80,30,0
3/14/2014,23,0,10,23,5,11,11,54,13,0,12,28,29,10,20,14,11,13,15,33,14,20,6,9,31,13,53,33,33,28,12,0,10,15,0,11,33,19,5,35,18,0,18,4,0,0,7,9,0,14,100
3/15/2014,79,0,34,0,9,31,31,0,42,16,13,79,0,21,25,0,63,36,0,94,21,23,11,17,57,28,0,57,49,78,51,0,32,28,0,46,32,28,22,100,67,0,18,8,46,0,0,20,0,31,0
3/16/2014,26,60,14,30,7,10,11,100,28,11,14,0,31,8,20,0,12,16,40,0,18,20,14,12,27,10,0,20,12,28,9,0,10,14,0,21,30,10,7,35,37,67,10,4,0,57,9,5,35,22,0
3/17/2014,25,58,9,65,8,22,11,50,13,14,19,0,60,14,17,15,12,43,31,32,25,16,16,15,59,13,52,41,25,59,12,0,13,16,65,14,13,9,18,35,21,0,6,14,22,0,15,12,68,22,100
3/18/2014,0,0,12,0,12,21,34,0,24,17,30,38,77,12,11,35,0,62,14,41,12,21,13,11,75,17,100,41,32,38,20,38,22,19,0,25,0,24,15,0,13,0,21,14,19,74,19,31,41,19,0
