Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
3/31/2014,44,100,14,97,18,24,27,96,0,13,46,51,53,13,38,24,26,23,22,55,29,7,15,10,33,11,0,0,0,50,14,0,13,29,0,21,67,14,16,0,55,0,34,23,26,0,19,13,60,18,0
4/1/2014,22,0,10,76,18,19,18,94,28,20,43,47,0,17,29,0,19,0,18,0,18,21,21,10,66,10,92,0,21,100,31,0,2,14,0,21,27,11,13,61,17,0,29,19,25,0,11,13,0,22,0
4/2/2014,17,0,28,44,11,15,15,100,29,17,21,0,0,8,34,21,20,36,38,0,12,27,22,16,53,19,73,28,25,40,20,37,8,18,0,16,57,13,14,48,40,81,18,18,20,83,21,20,0,20,0
4/3/2014,34,0,30,36,11,16,26,0,0,11,28,46,51,12,19,26,28,22,34,0,30,22,18,30,47,25,92,34,41,49,13,46,12,22,100,11,26,31,15,0,33,0,31,22,50,0,23,16,61,28,0
4/4/2014,20,0,12,37,8,27,17,87,18,12,25,0,0,11,27,0,29,20,24,50,29,12,9,18,0,10,0,33,28,45,14,0,8,13,95,9,39,18,7,0,31,100,29,18,47,0,10,15,57,40,0
4/5/2014,24,100,0,89,8,11,0,0,0,12,11,0,0,16,24,0,20,23,18,0,13,15,11,11,34,35,0,0,21,0,11,0,8,23,0,18,96,11,11,64,54,0,12,9,28,0,12,13,0,12,0
4/6/2014,20,0,15,37,11,10,0,0,20,13,27,49,0,14,14,27,18,21,33,0,19,10,12,15,61,15,86,0,20,47,20,48,10,28,100,13,17,10,28,56,47,0,16,18,25,0,17,25,0,27,0
4/7/2014,33,0,17,74,10,10,26,0,18,18,26,0,0,22,36,54,19,28,45,52,26,13,24,38,41,20,87,71,21,0,15,96,14,34,100,6,30,14,20,0,57,0,34,21,25,0,18,23,59,18,0
4/8/2014,39,0,10,55,15,9,26,85,37,18,43,93,0,17,44,53,18,46,63,51,33,17,17,42,31,20,86,35,20,0,10,47,8,31,100,15,59,17,14,56,44,0,32,33,50,0,27,22,60,26,0
4/9/2014,21,0,9,39,8,19,16,60,13,12,28,64,0,7,22,24,13,57,21,0,11,15,5,16,0,9,60,0,14,0,5,33,7,25,70,13,45,7,17,0,49,0,34,16,17,0,13,12,43,33,100
4/10/2014,30,0,9,37,10,18,35,0,26,13,27,0,51,9,26,26,27,15,46,0,0,15,25,15,0,15,85,0,39,48,14,47,11,25,0,15,73,0,18,56,54,0,42,17,49,100,22,16,62,14,0
